acc,center_name,biosample,organism,bioproject,geo_loc_name_country_calc,geo_loc_name_country_continent_calc,geo_loc_name_sam,attr_bases,attr_bytes,attr_run_file_create_date,attr_collection_date_sam,attr_ena_first_public_sam,attr_ena_last_update_sam,attr_external_id_sam,attr_geographic_location__country_and_or_sea__sam,attr_host_health_state_sam,attr_host_scientific_name_sam,attr_insdc_center_name_sam,attr_insdc_first_public_sam,attr_insdc_last_update_sam,attr_insdc_status_sam,attr_isolate_sam_ss_dpl100,attr_isolation_source_sam,attr_scientific_name_sam,attr_sub_species_sam,attr_submitter_id_sam,attr_organism_sam,attr_collected_by_sam,attr_food_origin_sam,attr_host_sam,attr_ifsac__category_sam,attr_isolate_name_alias_sam,attr_lat_lon_sam_s_dpl34,attr_ontological_term_sam,attr_project_name_sam,attr_sequenced_by_sam,attr_source_type_sam,attr_strain_sam_ss_dpl139,attr_attribute_package_sam,attr_host_disease_sam,attr_serovar_sam,attr_assemblyname,attr_arrayexpress_species_sam,attr_common_name_sam,attr_subject_id_sam_s_dpl1092,attr_alias_sam,attr_ena_checklist_sam_s_dpl67,attr_environmental_sample_sam,attr_geographic_location__latitude__sam,attr_geographic_location__longitude__sam,attr_insdc_center_alias_sam,attr_is_the_sequenced_pathogen_host_associated__sam,attr_sra_accession_sam,attr_title_sam,attr_ena_last_update_sam_ss_dpl537,attr_isolation_source_host_associated_sam_s_dpl264,attr_broker_name_sam,attr_isolation_source_non_host_associated_sam,attr_host_associated_sam,attr_country_sam,attr_isolation_date_sam,attr_lab_id_sam,attr_region_sam,attr_resistance_profile_sam,attr_sample_source_sam,attr_continent_sam,attr_source_name_sam,attr_year_sam_s_dpl152,attr_mlst_sam,attr_source_sam,attr_source_site_sam,attr_strain_name_sam,attr_geographic_location_sam_s_dpl93,attr_geographic_location__region_and_locality__sam,attr_antibiotic_exposure_sam,attr_passaging_sam,attr_variant_sam,attr_experimental_factor__immunoprecipitate_exp,attr_experimental_factor__phenotype_exp,attr_genotype_sam_ss_dpl92,attr_growth_condition_sam,attr_organism_part_sam,attr_phenotype_sam,attr_bio_material_sam,attr_instrument_sam,attr_ena_status_id_exp,attr_ena_status_id_run,attr_fda_lab_id_sam,attr_subspecies_sam,attr_genus_sam,attr_projectaccession_sam,attr_publicaccession_sam,attr_species_sam,attr_pfge_primaryenzyme_pattern_sam,attr_isolate_name_sam,attr_env_local_scale_sam,attr_purpose_of_sampling_sam,attr_strain_original_sam,attr_lexmapr_version_sam,attr_outbreak_sam,attr_pfge_secondaryenzyme_pattern_sam,attr_narms_id_sam,attr_narms_isolate_number_sam,attr_package_sam,attr_collection_date_run,attr_host_age_sam,attr_host_sex_sam,attr_culture_collection_sam_ss_dpl468,attr_hhs_region_sam,attr_geo_location_sam,attr_serotype_sam,attr_organisation_name_sam,attr_spuid_namespace_sam,attr_subgroup_sam,attr_potential_contaminant_sam,attr_sequence_type_sam_ss_dpl2,attr_description_sam,attr_intended_consumer_sam,attr_subtype_sam,attr_contact_info_sam,attr_env_broad_scale_sam,attr_env_medium_sam,attr_isol_growth_condt_sam,attr_propagation_sam,attr_host_tissue_sampled_sam_s_dpl239,attr_accession_sam,attr_submitted_serotype_sam,attr_sequence_funding_program_name_sam,attr_sample_type_sam_ss_dpl131,attr_treatment_sam_ss_dpl55,attr_num_replicons_sam,attr_ref_biomaterial_sam,attr_isolation_source_host_associated_sam_s_dpl263,attr_platform_model_sam,attr_sample_number_sam_s_dpl45,attr_biomaterial_provider_sam,attr_antigenform_sam,attr_sourcetype_sam,attr_replicate_sam_ss_dpl121,attr_tax_id_sam_ss_dpl29,attr_experimental_specimen_type_sam,attr_specimen_source_id_sam,attr_passage_history_sam_s_dpl312,attr_pathotype_sam,attr_specimen_voucher_sam,attr_receipt_date_sam
ERR2209585,IZSLT (ISTITUTO ZOOPROFILATTICO SPERIMENTALE DEL L,SAMEA104412341,Salmonella enterica,PRJEB23728,Italy,Europe,Italy,573337408,327714543,2017-12-09T21:34:00.000Z,2014,2017-12-02,,SAMEA104412341,Italy,not provided,Sus scrofa,IZSLT (Istituto Zooprofilattico Sperimentale del Lazio e la Toscana),2017-12-02T17:01:47Z,2017-12-01T12:38:59Z,public,14080140,,,,14080140,,IZSLT,,,,,,,,,,14080140,,,typhimurium monophasic,,,,,,,No,41.8061,12.5786,IZSLT (Istituto Zooprofilattico Sperimentale del Lazio e la Toscana),Yes,,,2017-12-01,meat from pig,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR2223804,NVRI,SAMEA104437527,Salmonella enterica,PRJEB23993,Poland,Europe,Poland,313766614,207266724,2022-07-23T16:40:00.000Z,2012,2017-12-18,,SAMEA104437527,Poland,,,NVRI,2017-12-18T17:01:56Z,2017-12-18T14:05:48Z,public,0298_12,,,,0298_12,,NVRI,,,,,,,,,,0298_12,,,derby,,,,,,,No,51.919438,19.145136,NVRI,No,,,2017-12-18,,Centre for Genomic Epidemiology,pork products,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR2223790,NVRI,SAMEA104437513,Salmonella enterica,PRJEB23993,Poland,Europe,Poland,422321662,282686705,2021-10-17T15:44:00.000Z,2014,2017-12-18,,SAMEA104437513,Poland,,,NVRI,2017-12-18T17:01:56Z,2017-12-18T14:05:47Z,public,S14_0069,,,,S14_0069,,NVRI,,,,,,,,,,S14_0069,,,derby,,,,,,,No,51.919438,19.145136,NVRI,No,,,2017-12-18,,Centre for Genomic Epidemiology,pork,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR2643719,PUBLIC HEALTH AGENCY OF SWEDEN,SAMEA4743655,Salmonella enterica,PRJEB27347,Sweden,Europe,,264456045,211473357,2020-04-26T03:20:00.000Z,2016,2020-04-23T04:05:17Z,2018-06-18T19:53:58Z,SAMEA4743655,Sweden,,Homo sapiens,Public Health Agency of Sweden,2020-04-23T04:05:17Z,2018-06-18T19:53:58Z,public,sam_FOHM_d3016be0-b996-4b24-9de8-9fcb6d3e5416,,Salmonella enterica,,sam_FOHM_d3016be0-b996-4b24-9de8-9fcb6d3e5416,,FOHM,,,,,,,,,,,,,,,,,,,ERC000044,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR3317769,NATIONAL INSTITUTE OF HEALTH DR. RICARDO JORGE,SAMEA5600732,Salmonella enterica,PRJEB32515,,,,290030089,155070969,2019-06-20T20:30:00.000Z,,2019-06-19T17:05:23Z,2019-05-09T15:35:46Z,SAMEA5600732,,,,NATIONAL INSTITUTE OF HEALTH DR. RICARDO JORGE,2019-06-19T17:05:23Z,2019-05-09T15:35:46Z,public,,,Salmonella enterica,,PT_SE0024,,,,,,,,,,,,,,,Rissen,,,,,,,,,,,,,,,,,,,Portugal,November 2015,Se_PIGA-3-16,Azores,MDR,Food,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR3635841,EI,SAMEA6143786,Salmonella enterica,PRJEB35182,,,,88990800,33131621,2022-07-24T11:15:00.000Z,,2019-11-04T17:04:24Z,2019-11-01T09:31:17Z,SAMEA6143786,,,,EI,2019-11-04T17:04:24Z,2019-11-01T09:31:17Z,public,,,Salmonella enterica,,5dbbfadd225a4b9cbfb98368:sample:FD01847072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COPO,,,,,,,,,North America,DNA,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR3633814,EI,SAMEA6141930,Salmonella enterica,PRJEB35182,,,,572476636,275731747,2021-10-10T19:15:00.000Z,,2019-11-04T17:04:23Z,2019-11-01T09:31:00Z,SAMEA6141930,,,,EI,2019-11-04T17:04:23Z,2019-11-01T09:31:00Z,public,,,Salmonella enterica,,5dbbfadd225a4b9cbfb98368:sample:FD01843663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COPO,,,,,,,,,Africa,DNA,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR3637968,EI,SAMEA6146142,Salmonella enterica,PRJEB35182,,,,115002600,35818282,2021-10-11T04:06:00.000Z,,2019-11-04T17:04:24Z,2019-11-01T09:31:38Z,SAMEA6146142,,,,EI,2019-11-04T17:04:24Z,2019-11-01T09:31:38Z,public,,,Salmonella enterica,,5dbbfadd225a4b9cbfb98368:sample:FD01852813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COPO,,,,,,,,,South America,DNA,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR3639464,EI,SAMEA6147454,Salmonella enterica,PRJEB35182,,,,177734262,56225620,2021-10-11T16:20:00.000Z,,2019-11-04T17:04:24Z,2019-11-01T09:31:50Z,SAMEA6147454,,,,EI,2019-11-04T17:04:24Z,2019-11-01T09:31:50Z,public,,,Salmonella enterica,,5dbbfadd225a4b9cbfb98368:sample:FD01876208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COPO,,,,,,,,,Africa,DNA,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR3634694,EI,SAMEA6142640,Salmonella enterica,PRJEB35182,,,,113043432,53116875,2021-10-10T20:28:00.000Z,,2019-11-04T17:04:23Z,2019-11-01T09:31:07Z,SAMEA6142640,,,,EI,2019-11-04T17:04:23Z,2019-11-01T09:31:07Z,public,,,Salmonella enterica,,5dbbfadd225a4b9cbfb98368:sample:FD01845336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COPO,,,,,,,,,South America,DNA,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR3635636,EI,SAMEA6143581,Salmonella enterica,PRJEB35182,,,,228943422,81522420,2021-10-11T00:42:00.000Z,,2019-11-04T17:04:24Z,2019-11-01T09:31:16Z,SAMEA6143581,,,,EI,2019-11-04T17:04:24Z,2019-11-01T09:31:16Z,public,,,Salmonella enterica,,5dbbfadd225a4b9cbfb98368:sample:FD01846843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COPO,,,,,,,,,Africa,DNA,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR3638505,EI,SAMEA6146675,Salmonella enterica,PRJEB35182,,,,233414700,89134268,2021-10-11T08:50:00.000Z,,2019-11-04,,SAMEA6146675,,,,EI,2019-11-04T17:04:24Z,2020-11-18T12:43:22Z,public,,,,,5dbbfadd225a4b9cbfb98368:sample:FD01873309,,,,,,,,,,,,,,,Typhimurium,,,,,,,,,,EI,,,,2020-11-18,,"Collaborative Open Plant Omics broker account, Earlham Institute, Norwich",,,Malawi,,,,,,Africa,DNA,2013,313,Human,Blood,BKQ511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR3634290,EI,SAMEA6142240,Salmonella enterica,PRJEB35182,,,,163784700,66832720,2021-10-10T19:17:00.000Z,,2019-11-04T17:04:23Z,2019-11-01T09:31:03Z,SAMEA6142240,,,,EI,2019-11-04T17:04:23Z,2019-11-01T09:31:03Z,public,,,Salmonella enterica,,5dbbfadd225a4b9cbfb98368:sample:FD01844401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COPO,,,,,,,,,Africa,DNA,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR3638606,EI,SAMEA6146776,Salmonella enterica,PRJEB35182,,,,87421200,26547593,2021-10-11T08:49:00.000Z,,2019-11-04T17:04:24Z,2019-11-01T09:31:44Z,SAMEA6146776,,,,EI,2019-11-04T17:04:24Z,2019-11-01T09:31:44Z,public,,,Salmonella enterica,,5dbbfadd225a4b9cbfb98368:sample:FD01873451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COPO,,,,,,,,,Central America,DNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR3636880,EI,SAMEA6144811,Salmonella enterica,PRJEB35182,,,,185571450,82517424,2021-10-11T02:24:00.000Z,,2019-11-04T17:04:24Z,2019-11-01T09:31:28Z,SAMEA6144811,,,,EI,2019-11-04T17:04:24Z,2019-11-01T09:31:28Z,public,,,Salmonella enterica,,5dbbfadd225a4b9cbfb98368:sample:FD01848852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COPO,,,,,,,,,South America,DNA,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR7197777,"Anthony Smith, NICD",SAMEA10558649,Salmonella enterica,PRJEB39546,South Africa,Africa,,526127940,221168059,2021-11-16T06:34:00.000Z,2019-10-14,2021-10-29,,SAMEA10558649,,,,"Anthony Smith, NICD",2021-10-29T12:20:06Z,2021-10-29T12:20:06Z,public,,"Human, Stool",,,SAL_KB0087AA,,"A. Smith, National Institute for Communicable Diseases",,,,,,,,,,YA00184555,,,sub species Salamae,,,,,,,,,,"Anthony Smith, NICD",,,,2021-10-29,,EnteroBase,,,,,,,,,,,,,,,,South Africa: KwaZulu-Natal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR4413413,M. Achtman,SAMEA7129686,Salmonella enterica,PRJEB39546,Denmark,Europe,,636222176,254682366,2022-07-19T01:27:00.000Z,2005,2020-08-05T18:11:47Z,2020-08-05T18:11:47Z,SAMEA7129686,,,,M. Achtman,2020-08-05T18:11:47Z,2020-08-05T18:11:47Z,public,,human,Salmonella enterica,,SAL_PA0189AA,,"M. Torpdahl (SSI, Denmark)",,,,,,,,,,0502S30023,,,Saintpaul,,,,,,,,,,,,,,,,EnteroBase,,,,,,,,,,,,,,,,Denmark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR14075487,"Anthony Smith, NICD",SAMEA117516854,Salmonella enterica,PRJEB39546,South Africa,Africa,,545015700,331524600,2025-02-24T06:21:00.000Z,2024-10-24,2024-12-17,,,South Africa,,,"Anthony Smith, NICD",,,public,,"Human, Blood culture",Salmonella enterica,,SAL_IC6953AA,,"A. Smith, National Institute for Communicable Diseases",,,,,,,,,,YA00547686,,,enteritidis,,,,,,,,,,,,,,,,EnteroBase,,,,,,,,,,,,,,,,,Western Cape,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR9288197,"Anthony Smith, NICD",SAMEA13423421,Salmonella enterica,PRJEB39546,South Africa,Africa,,604538892,238941119,2022-05-07T19:31:00.000Z,2021-11-15,2022-03-16,,SAMEA13423421,,,,"Anthony Smith, NICD",2022-03-16T19:41:52Z,2022-03-16T19:41:52Z,public,,"Human, Stool",,,SAL_LB3042AA,,"A. Smith, National Institute for Communicable Diseases",,,,,,,,,,YA00291704,,,enteritidis,,,,,,,,,,"Anthony Smith, NICD",,,,2022-03-16,,EnteroBase,,,,,,,,,,,,,,,,South Africa: Gauteng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR10880417,"Anthony Smith, NICD",SAMEA112639909,Salmonella enterica,PRJEB39546,South Africa,Africa,,676055316,298235213,2023-03-01T17:40:00.000Z,2022-09-25,2023-02-13,2023-02-13,SAMEA112639909,,,,"Anthony Smith, NICD",2023-02-13T11:35:01Z,2023-02-13T11:35:01Z,public,,"Human, Stool",Salmonella enterica,,SAL_PB9582AA,,"A. Smith, National Institute for Communicable Diseases",,,,,,,,,,YA00413275,,,Schwarzengrund,,,,,,,,,,"Anthony Smith, NICD",,,,,,EnteroBase,,,,,,,,,,,,,,,,South Africa: Eastern Cape,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
